company_name,ticker,corp_code,sector,subsector,market,enabled
동진쎄미켐,,,반도체,소재,,1
원익IPS,,,반도체,장비,,1
주성엔지니어링,,,반도체,장비,,1
테스,,,반도체,장비,,1
유진테크,,,반도체,장비,,1
피에스케이,,,반도체,장비,,1
한미반도체,,,반도체,후공정,,1
이오테크닉스,,,반도체,레이저/장비,,1
코미코,,,반도체,부품/세정,,1
네패스,,,반도체,패키징,,1
알테오젠,,,바이오,플랫폼,,1
에이비엘바이오,,,바이오,신약개발,,1
HLB,,,바이오,신약개발,,1
오스코텍,,,바이오,신약개발,,1
차바이오텍,,,바이오,헬스케어,,1
휴젤,,,바이오,의료미용,,1
제넥신,,,바이오,신약개발,,1
펩트론,,,바이오,약물전달,,1
보로노이,,,바이오,신약개발,,1
셀트리온제약,,,바이오,제약,,1
에코프로,,,이차전지,소재,,1
엘앤에프,,,이차전지,양극재,,1
천보,,,이차전지,전해질,,1
나노신소재,,,이차전지,소재,,1
코스모신소재,,,이차전지,양극재,,1
대주전자재료,,,이차전지,소재,,1
후성,,,이차전지,전해질/소재,,1
피엔티,,,이차전지,장비,,1
더블유씨피,,,이차전지,분리막,,1
에코앤드림,,,이차전지,소재,,1
솔트룩스,,,AI/SW,AI플랫폼,,1
코난테크놀로지,,,AI/SW,AI플랫폼,,1
한글과컴퓨터,,,AI/SW,SW/문서,,1
더존비즈온,,,AI/SW,ERP/SaaS,,1
가비아,,,AI/SW,클라우드/호스팅,,1
플리토,,,AI/SW,언어데이터,,1
알체라,,,AI/SW,비전AI,,1
뷰노,,,AI/SW,의료AI,,1
루닛,,,AI/SW,의료AI,,1
와이즈넛,,,AI/SW,검색/AI,,1
레인보우로보틱스,,,로봇,협동로봇,,1
뉴로메카,,,로봇,협동로봇,,1
로보티즈,,,로봇,서비스로봇,,1
두산로보틱스,,,로봇,협동로봇,,1
티로보틱스,,,로봇,물류/자동화,,1
로보스타,,,로봇,산업용로봇,,1
에스피지,,,로봇,감속기/부품,,1
유일로보틱스,,,로봇,산업용로봇,,1
휴림로봇,,,로봇,산업용로봇,,1
현대무벡스,,,로봇,물류자동화,,1
