company_name,ticker,corp_code,sector,subsector,market,enabled
동진쎄미켐,005290,00118804,반도체,소재,KOSDAQ,1
원익IPS,240810,01135941,반도체,장비,KOSDAQ,1
주성엔지니어링,036930,00252135,반도체,장비,KOSDAQ,1
테스,095610,00524421,반도체,장비,KOSDAQ,1
유진테크,084370,00531014,반도체,장비,KOSDAQ,1
피에스케이,319660,01365825,반도체,장비,KOSDAQ,1
한미반도체,042700,00161383,반도체,후공정,KOSPI,1
이오테크닉스,039030,00246417,반도체,레이저/장비,KOSDAQ,1
코미코,183300,00997812,반도체,부품/세정,KOSDAQ,1
네패스,033640,00227333,반도체,패키징,KOSDAQ,1
알테오젠,196170,00989619,바이오,플랫폼,KOSDAQ,1
에이비엘바이오,298380,01256864,바이오,신약개발,KOSDAQ,1
HLB,028300,00199252,바이오,신약개발,KOSDAQ,1
오스코텍,039200,00263654,바이오,신약개발,KOSDAQ,1
차바이오텍,085660,00525679,바이오,헬스케어,KOSDAQ,1
휴젤,145020,00888347,바이오,의료미용,KOSDAQ,1
제넥신,095700,00545929,바이오,신약개발,KOSDAQ,1
펩트론,087010,00415868,바이오,약물전달,KOSDAQ,1
보로노이,310210,01327746,바이오,신약개발,KOSDAQ,1
셀트리온제약,068760,00541349,바이오,제약,KOSDAQ,1
에코프로,086520,00536541,이차전지,소재,KOSDAQ,1
엘앤에프,066970,00398701,이차전지,양극재,KOSPI,1
천보,278280,00897752,이차전지,전해질,KOSDAQ,1
나노신소재,121600,00439965,이차전지,소재,KOSDAQ,1
코스모신소재,005070,00129989,이차전지,양극재,KOSPI,1
대주전자재료,078600,00177816,이차전지,소재,KOSDAQ,1
후성,093370,00595191,이차전지,전해질/소재,KOSPI,1
피엔티,137400,00612294,이차전지,장비,KOSDAQ,1
더블유씨피,393890,01291317,이차전지,분리막,KOSDAQ,1
에코앤드림,101360,00619640,이차전지,소재,KOSDAQ,1
솔트룩스,304100,01050738,AI/SW,AI플랫폼,KOSDAQ,1
코난테크놀로지,402030,00601988,AI/SW,AI플랫폼,KOSDAQ,1
한글과컴퓨터,030520,00204262,AI/SW,SW/문서,KOSDAQ,1
더존비즈온,012510,00172291,AI/SW,ERP/SaaS,KOSPI,1
가비아,079940,00506294,AI/SW,클라우드/호스팅,KOSDAQ,1
플리토,300080,01237434,AI/SW,언어데이터,KOSDAQ,1
알체라,347860,01405451,AI/SW,비전AI,KOSDAQ,1
뷰노,338220,01344202,AI/SW,의료AI,KOSDAQ,1
루닛,328130,01397620,AI/SW,의료AI,KOSDAQ,1
와이즈넛,096250,00351427,AI/SW,검색/AI,KOSDAQ,1
레인보우로보틱스,277810,01261644,로봇,협동로봇,KOSDAQ,1
뉴로메카,348340,01336461,로봇,협동로봇,KOSDAQ,1
로보티즈,108490,00946030,로봇,서비스로봇,KOSDAQ,1
두산로보틱스,454910,01105153,로봇,협동로봇,KOSPI,1
티로보틱스,117730,00867098,로봇,물류/자동화,KOSDAQ,1
로보스타,090360,00536523,로봇,산업용로봇,KOSDAQ,1
에스피지,058610,00220686,로봇,감속기/부품,KOSDAQ,1
유일로보틱스,388720,01152586,로봇,산업용로봇,KOSDAQ,1
휴림로봇,090710,00540429,로봇,산업용로봇,KOSDAQ,1
현대무벡스,319400,01358463,로봇,물류자동화,KOSDAQ,1
