company_name,ticker,corp_code,sector,subsector,market,revenue_latest,revenue_prev,revenue_cagr_3y,operating_income_latest,operating_margin_latest,total_assets_latest,total_liabilities_latest,total_equity_latest,debt_ratio_latest,disclosure_count_1y,growth_score,risk_score
HLB,028300,00199252,바이오,신약개발,KOSDAQ,68125727347.0,179707913112.0,-0.38429599924094204,-118516152929.0,-1.739668074666347,887424813429.0,235310995214.0,652113818215.0,36.084344272615716,67,0,25
가비아,079940,00506294,AI/SW,클라우드/호스팅,KOSDAQ,282417869366.0,239153945319.0,0.08669410520556942,35109842052.0,0.12431876966856983,634500844201.0,287789538999.0,346711305202.0,83.00552496588736,67,45,25
나노신소재,121600,00439965,이차전지,소재,KOSDAQ,87767284001.0,79912146327.0,0.04799674046043467,2987662289.0,0.034040728535771475,442216673054.0,198041577200.0,244175095854.0,81.10637839921861,29,30,10
네패스,033640,00227333,반도체,패키징,KOSDAQ,464331506206.0,588039209962.0,-0.1113905373225037,3401796348.0,0.007326223404040987,710112535938.0,502876077951.0,207236457987.0,242.65811278368093,27,0,50
뉴로메카,348340,01336461,로봇,협동로봇,KOSDAQ,25269404825.0,9754641463.0,0.6095032236349078,-19015005988.0,-0.7524912485943365,95229546881.0,84360388822.0,10869158059.0,776.1446504326707,48,60,70
대주전자재료,078600,00177816,이차전지,소재,KOSDAQ,219316249770.0,174098407326.0,0.12237505647145341,29353571296.0,0.13384129687965893,622950058762.0,392710922285.0,230239136477.0,170.5665371639501,39,65,30
더블유씨피,393890,01291317,이차전지,분리막,KOSDAQ,322073352106.0,257451425430.0,0.1184839239566966,-70938111834.0,-0.22025452081069105,1810190530958.0,841548385907.0,968642145051.0,86.87918342255195,33,40,10
더존비즈온,012510,00172291,AI/SW,ERP/SaaS,KOSPI,402332391243.0,304302941269.0,0.14984532595256783,88064046059.0,0.21888380845232824,1037613249183.0,482789066484.0,554824182699.0,87.01658679249024,61,80,25
동진쎄미켐,005290,00118804,반도체,소재,KOSDAQ,1408144175958.0,1457214808307.0,-0.01698131319134355,208225729660.0,0.14787245028964324,2016989003189.0,996558402618.0,1020430600571.0,97.6605760411691,39,25,10
두산로보틱스,454910,01105153,로봇,협동로봇,KOSPI,46829943837.0,53038372299.0,-0.11705541088252924,-41202116246.0,-0.8798241652693699,421690971946.0,19189791718.0,402501180228.0,4.767636136403324,52,0,25
