company_name,ticker,corp_code,year,fs_type,revenue,operating_income,net_income,total_assets,total_liabilities,total_equity
동진쎄미켐,005290,00118804,2024,연결,1408144175958.0,208225729660.0,143484559745.0,2016989003189.0,996558402618.0,1020430600571.0
동진쎄미켐,005290,00118804,2023,연결,1309924437990.0,176174316058.0,123534360586.0,1606588027004.0,771106380233.0,835481646771.0
동진쎄미켐,005290,00118804,2022,연결,1457214808307.0,216308703354.0,156195316180.0,1374303530098.0,673516166268.0,700787363830.0
원익IPS,240810,01135941,2024,연결,748176487524.0,,,1124147065791.0,236686893210.0,887460172581.0
원익IPS,240810,01135941,2023,연결,690337586778.0,,,1084862841788.0,218160246280.0,866702595508.0
원익IPS,240810,01135941,2022,연결,1011484981702.0,97554876588.0,89438212718.0,1121670538661.0,251943234499.0,869727304162.0
주성엔지니어링,036930,00252135,2024,연결,409393371588.0,97196211588.0,106814110967.0,986824795276.0,420234495676.0,566590299600.0
주성엔지니어링,036930,00252135,2023,연결,284745246660.0,28937462812.0,34000802285.0,,,
주성엔지니어링,036930,00252135,2022,연결,437938720318.0,123884000542.0,106171290850.0,833063199031.0,348454879955.0,484608319076.0
테스,095610,00524421,2024,연결,240077826420.0,38473734786.0,42653657309.0,381186883677.0,50648891417.0,330537992260.0
테스,095610,00524421,2023,연결,146938072263.0,-5861866998.0,1565979353.0,321829824257.0,22931149578.0,298898674679.0
테스,095610,00524421,2022,연결,357991682573.0,55898658621.0,46766672131.0,336518156052.0,29847950093.0,306670205959.0
유진테크,084370,00531014,2024,연결,338067812312.0,61177012897.0,65440277257.0,539499743575.0,103757408575.0,435742335000.0
유진테크,084370,00531014,2023,연결,276533350776.0,24325728964.0,25397015593.0,436989837327.0,68514428187.0,368475409140.0
유진테크,084370,00531014,2022,연결,310632917779.0,53640954367.0,42595162228.0,434013808798.0,87311770380.0,346702038418.0
피에스케이,319660,01365825,2024,연결,398050977575.0,83924423263.0,79128216285.0,569356264734.0,97639459052.0,471716805682.0
피에스케이,319660,01365825,2023,연결,351863805650.0,54118591422.0,52520188202.0,494393356491.0,101823749358.0,392569607133.0
피에스케이,319660,01365825,2022,연결,460909201007.0,91842998729.0,77443254531.0,472649339864.0,119341821898.0,353307517966.0
한미반도체,042700,00161383,2024,연결,558917191547.0,255391604854.0,152614498001.0,710872366678.0,169984503289.0,540887863389.0
한미반도체,042700,00161383,2023,연결,159008528366.0,34571410992.0,267167515858.0,723839103741.0,151940478614.0,571898625127.0
한미반도체,042700,00161383,2022,연결,327592058714.0,111859422080.0,92259257411.0,455432965985.0,65336210199.0,390096755786.0
이오테크닉스,039030,00246417,2024,연결,320945496298.0,31201085341.0,42670270031.0,653015311226.0,49983890382.0,603031420844.0
이오테크닉스,039030,00246417,2023,연결,316384019477.0,28334755251.0,36393252840.0,611678998449.0,49219483901.0,562459514548.0
이오테크닉스,039030,00246417,2022,연결,447157589742.0,92798680886.0,77243298170.0,615867392001.0,76752866702.0,539114525299.0
코미코,183300,00997812,2024,연결,507138644286.0,112461653836.0,87845843289.0,800342522976.0,424624460497.0,375718062479.0
코미코,183300,00997812,2023,연결,307266896921.0,33028446745.0,45511244117.0,593902816913.0,305922619817.0,287980197096.0
코미코,183300,00997812,2022,연결,288376003971.0,55397524906.0,41966780348.0,387796504542.0,130129928564.0,257666575978.0
네패스,033640,00227333,2024,연결,464331506206.0,3401796348.0,-79400160862.0,710112535938.0,502876077951.0,207236457987.0
네패스,033640,00227333,2023,연결,480111639417.0,-70002734472.0,-109458165882.0,963118457710.0,679952137538.0,283166320172.0
네패스,033640,00227333,2022,연결,588039209962.0,-6714005791.0,94546157588.0,1131933359194.0,739611151367.0,392322207827.0
알테오젠,196170,00989619,2024,연결,102854620800.0,25403990856.0,60690355931.0,409011974213.0,134920913122.0,274091061091.0
알테오젠,196170,00989619,2023,연결,96522928887.0,-9736838487.0,-3582208686.0,256099994583.0,108258260247.0,147841734336.0
알테오젠,196170,00989619,2022,연결,28806344498.0,-29373680278.0,-10077904116.0,245490136097.0,100108123094.0,145382013003.0
에이비엘바이오,298380,01256864,2024,연결,33403030159.0,-59377417080.0,-55529347885.0,231975702513.0,64695919270.0,167279783243.0
에이비엘바이오,298380,01256864,2023,연결,65547054627.0,-2617101131.0,-2646663290.0,160144371976.0,86065261491.0,74079110485.0
에이비엘바이오,298380,01256864,2022,연결,67300799414.0,907999453.0,3208631006.0,185180595640.0,115667312852.0,69513282788.0
HLB,028300,00199252,2024,연결,68125727347.0,-118516152929.0,-108026798560.0,887424813429.0,235310995214.0,652113818215.0
HLB,028300,00199252,2023,연결,42900561196.0,-125024740610.0,-206042537607.0,751721630091.0,169475199911.0,582246430180.0
HLB,028300,00199252,2022,연결,179707913112.0,-74664893059.0,-98603344338.0,967265434792.0,268287104470.0,698978330322.0
오스코텍,039200,00263654,2024,연결,34007602680.0,-2733857885.0,-1589923760.0,170778209860.0,38418568371.0,132359641489.0
오스코텍,039200,00263654,2023,연결,4950929999.0,-32655289595.0,-28489780658.0,132578400082.0,37860914026.0,94717486056.0
오스코텍,039200,00263654,2022,연결,5062376493.0,-28638371344.0,-27773705664.0,143735698279.0,21914692257.0,121821006022.0
차바이오텍,085660,00525679,2024,연결,1045049021124.0,-59684136456.0,-14550152214.0,2194378669342.0,1475529477270.0,718849192072.0
차바이오텍,085660,00525679,2023,연결,953951423132.0,-9567468724.0,-5559913651.0,1725570383393.0,1069236413865.0,656333969528.0
차바이오텍,085660,00525679,2022,연결,844582867317.0,-47076070730.0,-69659072395.0,1607008259342.0,955071931840.0,651936327502.0
휴젤,145020,00888347,2024,연결,373046885998.0,166229170618.0,143134582847.0,939439325841.0,98627325098.0,840812000743.0
휴젤,145020,00888347,2023,연결,319699941151.0,117781785955.0,97660299628.0,929250642001.0,149572606527.0,779678035474.0
휴젤,145020,00888347,2022,연결,281675135067.0,101378493271.0,60681761506.0,1049782928514.0,200328493261.0,849454435253.0
제넥신,095700,00545929,2024,개별,2932735736.0,-37245760360.0,-63705874579.0,345041837007.0,83361162470.0,261680674537.0
제넥신,095700,00545929,2023,연결,4426626990.0,-41240886624.0,-66860297233.0,376586599985.0,79682984297.0,296903615688.0
제넥신,095700,00545929,2022,연결,16139032166.0,-33679063951.0,-56831170416.0,388781107501.0,111386617270.0,277394490231.0
펩트론,087010,00415868,2024,개별,3152181439.0,-16527819080.0,-22033671493.0,168892733798.0,17184168838.0,151708564960.0
펩트론,087010,00415868,2023,개별,3341893572.0,-15883908215.0,-15921881877.0,52495975188.0,16368962307.0,36127012881.0
펩트론,087010,00415868,2022,개별,5813995537.0,-15226653745.0,-15062790476.0,68274569625.0,15165197545.0,53109372080.0
보로노이,310210,01327746,2024,연결,0.0,-36339049690.0,-32613098090.0,73658644252.0,7246106380.0,66412537872.0
보로노이,310210,01327746,2023,연결,0.0,-31335510474.0,-36848289927.0,94653233638.0,13309408301.0,81343825337.0
보로노이,310210,01327746,2022,연결,9767826850.0,-17863480687.0,-19899662518.0,63950031136.0,29691863522.0,34258167614.0
셀트리온제약,068760,00541349,2024,개별,477835307770.0,37222949682.0,21966117520.0,669462477938.0,272540920812.0,396921557126.0
셀트리온제약,068760,00541349,2023,개별,388794335490.0,36070715954.0,21264988852.0,641643568134.0,264977832531.0,376665735603.0
셀트리온제약,068760,00541349,2022,개별,386039612595.0,38169582298.0,25959948294.0,599724549123.0,242938002116.0,356786547007.0
에코프로,086520,00536541,2024,연결,3127853158129.0,-293038698088.0,-295367033134.0,8138264562531.0,4299802389265.0,3838462173266.0
에코프로,086520,00536541,2023,연결,7260200345722.0,298172334242.0,135268663790.0,7556978775072.0,4070843048271.0,3486135726801.0
에코프로,086520,00536541,2022,연결,5639741327318.0,613226487106.0,220591650311.0,5345782603044.0,2824001949335.0,2521780653709.0
엘앤에프,066970,00398701,2024,연결,1907478512809.0,-558685355192.0,-380729239417.0,2799831517733.0,2076483586372.0,
엘앤에프,066970,00398701,2023,연결,4644090367589.0,-222296651919.0,-194922089742.0,3351444610588.0,2241456006787.0,
엘앤에프,066970,00398701,2022,연결,3887293713353.0,266321029961.0,271012385909.0,3023932974764.0,1738602594287.0,1285330380477.0
천보,278280,00897752,2024,연결,144912632914.0,-22751764756.0,-32319407781.0,1007851053797.0,592946027624.0,414905026173.0
천보,278280,00897752,2023,연결,182697745919.0,-8044807665.0,-45466112224.0,933690405628.0,583161645145.0,350528760483.0
천보,278280,00897752,2022,연결,328858944972.0,56473078225.0,42836419269.0,818655924091.0,423815482608.0,394840441483.0
나노신소재,121600,00439965,2024,연결,87767284001.0,2987662289.0,-1853023018.0,442216673054.0,198041577200.0,244175095854.0
나노신소재,121600,00439965,2023,연결,83170197743.0,11892080207.0,16774215500.0,430041532929.0,190539608600.0,239501924329.0
나노신소재,121600,00439965,2022,연결,79912146327.0,16822813569.0,19180163937.0,213760965100.0,14866317449.0,198894647651.0
코스모신소재,005070,00129989,2024,개별,569728589077.0,25002358115.0,17647535995.0,784541943950.0,289009302755.0,495532641195.0
코스모신소재,005070,00129989,2023,개별,629578773085.0,32324547766.0,27036287901.0,672673343828.0,193891013679.0,478782330149.0
코스모신소재,005070,00129989,2022,개별,485605243552.0,32475176321.0,27697027964.0,451321116581.0,200117019634.0,251204096947.0
대주전자재료,078600,00177816,2024,연결,219316249770.0,29353571296.0,36394010154.0,622950058762.0,392710922285.0,230239136477.0
대주전자재료,078600,00177816,2023,연결,184988881822.0,6208941102.0,628120911.0,413411034481.0,256530037596.0,156880996885.0
대주전자재료,078600,00177816,2022,연결,174098407326.0,11970916445.0,797710887.0,327888921205.0,207199235333.0,120689685872.0
후성,093370,00595191,2024,연결,437795018982.0,-9575604806.0,-83359194090.0,826277280544.0,493529728930.0,332747551614.0
후성,093370,00595191,2023,연결,523191899192.0,-46105756733.0,-84392136579.0,853376951920.0,521907370047.0,331469581873.0
후성,093370,00595191,2022,연결,610564329261.0,105370138192.0,112437648934.0,933755417033.0,518459264841.0,415296152192.0
피엔티,137400,00612294,2024,연결,1035081261981.0,163228782523.0,142235778910.0,1620271365673.0,995710766322.0,624560599351.0
피엔티,137400,00612294,2023,연결,545413968484.0,76924220008.0,68474478926.0,1601330032912.0,1136627277397.0,464702755515.0
피엔티,137400,00612294,2022,연결,417814489256.0,77765165313.0,59671803839.0,1087892463692.0,854697424462.0,233195039230.0
더블유씨피,393890,01291317,2024,연결,322073352106.0,-70938111834.0,-72205558117.0,1810190530958.0,841548385907.0,968642145051.0
더블유씨피,393890,01291317,2023,연결,304986337193.0,46391318239.0,53621155391.0,1358510063106.0,358102062582.0,1000408000524.0
더블유씨피,393890,01291317,2022,연결,257451425430.0,58027154917.0,55257959855.0,1078240739103.0,143595088109.0,934645650994.0
에코앤드림,101360,00619640,2024,연결,104901418831.0,487160660.0,13515181751.0,405770507399.0,184121603761.0,221648903638.0
에코앤드림,101360,00619640,2023,연결,51455287308.0,-2967415404.0,-10150669449.0,154242178124.0,53351974155.0,100890203969.0
에코앤드림,101360,00619640,2022,연결,60522326102.0,2252730403.0,95215243.0,139449222196.0,59925865030.0,79523357166.0
솔트룩스,304100,01050738,2024,연결,45944417924.0,-6631928392.0,-5858192125.0,93236129312.0,20565283068.0,72670846244.0
솔트룩스,304100,01050738,2023,연결,30828903129.0,-9292178997.0,-10727358908.0,98831756429.0,25289789400.0,73541967029.0
솔트룩스,304100,01050738,2022,연결,30313561776.0,-1959183772.0,-9363734179.0,78704525081.0,33776449726.0,44928075355.0
코난테크놀로지,402030,00601988,2024,개별,26318506558.0,-14106433041.0,-13603883382.0,44386378693.0,24762292934.0,19624085759.0
코난테크놀로지,402030,00601988,2023,개별,24428255327.0,-10994514501.0,-9836359727.0,48093874097.0,16670651233.0,31423222864.0
코난테크놀로지,402030,00601988,2022,개별,15388168002.0,-4040889577.0,-3276841493.0,49868455847.0,9262366418.0,40606089429.0
한글과컴퓨터,030520,00204262,2024,연결,304773304445.0,40422695177.0,13996109787.0,681939379443.0,196273107269.0,485666272174.0
한글과컴퓨터,030520,00204262,2023,연결,271099772341.0,34150052679.0,-27497127633.0,631779379665.0,161199361669.0,470580017996.0
한글과컴퓨터,030520,00204262,2022,연결,242008402693.0,25023371169.0,16708892290.0,694887464281.0,213922218166.0,480965246115.0
더존비즈온,012510,00172291,2024,연결,402332391243.0,88064046059.0,78026871531.0,1037613249183.0,482789066484.0,554824182699.0
더존비즈온,012510,00172291,2023,연결,353562627173.0,69070239677.0,34328701391.0,883327559675.0,437989023463.0,445338536212.0
더존비즈온,012510,00172291,2022,연결,304302941269.0,45533613298.0,23076078685.0,832892725864.0,394392969092.0,438499756772.0
가비아,079940,00506294,2024,연결,282417869366.0,35109842052.0,28592627980.0,634500844201.0,287789538999.0,346711305202.0
가비아,079940,00506294,2023,연결,261590696584.0,42602627160.0,34640454389.0,462666236860.0,170914794592.0,291751442268.0
가비아,079940,00506294,2022,연결,239153945319.0,41205974132.0,41594514256.0,368323132833.0,125695725514.0,242627407319.0
플리토,300080,01237434,2024,연결,20300590454.0,-396344850.0,809330984.0,16537997958.0,5520382637.0,11017615321.0
플리토,300080,01237434,2023,연결,17761267682.0,-5094024751.0,-6792796311.0,15771081295.0,11390622777.0,4380458518.0
플리토,300080,01237434,2022,연결,13639437063.0,-6595175443.0,-5868323015.0,24767706232.0,12776346891.0,11991359341.0
알체라,347860,01405451,2024,연결,17251117521.0,-10431928553.0,-9948029690.0,17756212645.0,10681530215.0,7074682430.0
알체라,347860,01405451,2023,연결,11560700292.0,-18520484457.0,-26776024648.0,36191630966.0,27981825975.0,8209804991.0
알체라,347860,01405451,2022,연결,11088745688.0,-16850508679.0,-14142547507.0,59046522906.0,24544354108.0,34502168798.0
뷰노,338220,01344202,2024,연결,25869420408.0,-12450008523.0,-13018446504.0,50182429726.0,19488654983.0,30693774743.0
뷰노,338220,01344202,2023,연결,13275892081.0,-15675806109.0,-15626719889.0,22556170574.0,17536802020.0,5019368554.0
뷰노,338220,01344202,2022,연결,8274530575.0,-15366682625.0,-15661891105.0,35377699339.0,16685812857.0,18691886482.0
루닛,328130,01397620,2024,연결,54179663335.0,-67672567880.0,-82420863344.0,435040757949.0,270179666779.0,164861091170.0
루닛,328130,01397620,2023,연결,25080238712.0,-42216718386.0,-36798251578.0,267920700163.0,32811193379.0,235109506784.0
루닛,328130,01397620,2022,연결,,,-39117907070.0,97153074707.0,28243417093.0,68909657614.0
와이즈넛,096250,00351427,2024,연결,34920657325.0,1702832524.0,3050746409.0,57963768348.0,6609646859.0,51354121489.0
와이즈넛,096250,00351427,2023,연결,35172218324.0,3456887664.0,4267209666.0,55408755428.0,6668353225.0,48740402203.0
레인보우로보틱스,277810,01261644,2024,연결,19346780087.0,-2978979764.0,2135370753.0,139881005679.0,7129702269.0,132751303410.0
레인보우로보틱스,277810,01261644,2023,연결,15258134872.0,-44589778382.0,-842680471.0,132611487315.0,1955287162.0,130656200153.0
레인보우로보틱스,277810,01261644,2022,연결,13615411936.0,1300876285.0,5774170711.0,76159467442.0,14652195787.0,61507271655.0
뉴로메카,348340,01336461,2024,연결,25269404825.0,-19015005988.0,-16754713008.0,95229546881.0,84360388822.0,10869158059.0
뉴로메카,348340,01336461,2023,연결,13742971105.0,-14825326473.0,-17653500201.0,95720977154.0,71664638731.0,24056338423.0
뉴로메카,348340,01336461,2022,연결,9754641463.0,-7798121485.0,-8200588555.0,43830121450.0,4103488046.0,39726633404.0
로보티즈,108490,00946030,2024,연결,30038231053.0,-2973503944.0,-3038577530.0,100246445003.0,4239672714.0,96006772289.0
로보티즈,108490,00946030,2023,연결,29127949488.0,-5298796747.0,-1299719460.0,114995337499.0,19154455762.0,95840881737.0
로보티즈,108490,00946030,2022,연결,25856449323.0,-2160534050.0,-224151043.0,122794680774.0,38136875373.0,84657805401.0
두산로보틱스,454910,01105153,2024,연결,46829943837.0,-41202116246.0,-36560851475.0,421690971946.0,19189791718.0,402501180228.0
